season,seeking cash,equity offered,proposed valuation,value proposition,investment,last 12m sale,last 12m profit,propretity/exclusive right to sell,reason for money,outlets,retail price ($),decision,bonus,product/service,next 12m
,"300,000",12.50%,"2,400,000",clasic spin toy with ergo,,1.1M,60 to 100%, ,scale,,"50, 200",higher equity,,p,
,"25,000",18.00%,"138,889",perfumes,,none,none,yes,none,,70,out,,p,"20,000"
,"60,000",20.00%,"300,000",posture performance shirt,,6000/3m,,,,,89.99,exceed offer,professional players wearing it,p,
,"200,000",6.60%,"3,030,303",home electricity tracking and allow utility companies to upsell energy efficient produts,,0,0,,,,,out,,p,
,"25,000",10.00%,"250,000",sauces,,3300 /2w,,no,marketting,,8,met,,p,
"s10,e9","150,000",20.00%,"750,000",premium drink chillers,,"180,000",,no,"inventory, finances","chapters, winners, online",25,higher equity,,p,
"s10,e9","100,000",10.00%,"1,000,000",specialty boots,,"50,000",,yes,,online,75,royalty,,p,
"s10,e9","150,000",10.00%,"1,500,000","calf, shin guards for hockey",,"120,000",,yes,inventory,,49,higher equity,,p,
"s10,e9","300,000",15.00%,"2,000,000",water nail polish,,"500,000",,yes,marketing,"london drugs, loblaws",,royalty,,p,
"s10,e9","200,000",25.00%,"800,000","non-stick sheet, FDA approved",,"180,000","70,000",yes,,"home hardware, shopping channel",,met,,p,
8/10/16,"300,000",10.00%,"3,000,000","urban farm, delivery fresh to door",,"1,800,000","378,000",no,,,28 / bag,out (high val),,p,
8/10/16,"100,000",20.00%,"500,000",delivery,,"350,000","126,000",no,,200 stores,12,higher equity,,p,
8/10/16,"250,000",20.00%,"1,250,000",dog dental care,,"150,000",,,,,1 mobile location,out (high val),,s,
8/10/16,"50,000",10.00%,"500,000",customized workout playlist videos,,,,no,,,1.99 to 4.99 (5% commission to agent),higher equity,,,
"s11,e7","90,000",10.00%,"900,000",modest clothes,"2,000","150,000",0,scarce,ecommerce brand,"store, online",75,out (high val),,p,
"s11,e7","1,500,000",25.00%,"6,000,000",robot customer service,"500,000",,,,"markteing, product dev",0,,out (pre rev),,p,
"s11,e7","35,000",10.00%,"350,000",ergo mouse,,20000/4m,,first,,,,met,,p,
"s11,e7","500,000",10.00%,"5,000,000",wireless headset,,,,first,inventory,,"50, 250",met,4/5 dragons,p,
"s11,e8","150,000",10.00%,"1,500,000",air horn,,"125,000",,,,10,"50, 500",,,p,
"s11,e8","2,000,000",20.00%,"10,000,000",self-serving platform with interactive game,break even,"500,000",,yes,,,,out (high val),,p,"2,000,000"
,"400,000",15.00%,"2,666,667","kilt: window cleaning, snow removal",,"10,000,000","500,000",no,"helping franchize, support staff",20,,,,s,
"2,014","250,000",20.00%,"1,250,000",travel tea kits,,"1,000,000",,no,enter US market,,,4 offers,,p,
,"50,000",10.00%,"500,000",ladies gardening gloves,,,,no,,"lowe's. home depot, canadian tire",,met,,p,
,"250,000",50.00%,"500,000",treats,,,,no,,,,met,,p,
,"500,000",15.00%,"3,333,333",tight core shorts,,,,,,,,out (high val),,p,
